id,campaign_id,candidate_id,candidate_title,candidate_role,decision,novelty_confidence,technical_plausibility,commercialization_relevance,key_flaw,reviewer_note,reviewer,created_at
rl_eval1_champ,70b85ab1720a4859,f2c339531f2f4878,MOF-808 Insulation with Low-Temp Regeneration for Passive Building Cooling,champion,approve,0.820,0.840,0.760,none,Cross-domain bridge between MOF thermal management and building insulation is well-grounded. Low-temp regeneration reduces energy overhead. Strong mechanism specificity. Commercially relevant for building efficiency retrofits.,phase9cb_collection,2026-03-11T18:00:00Z
rl_eval1_run1,70b85ab1720a4859,9822df8dc4723fc8,NiFe-LDH Catalytic Ventilation Filters for Low-Energy Air Purification,runner_up,defer,0.720,0.780,0.700,needs stronger differentiation from existing catalytic filter products,Interesting application of NiFe-LDH to air purification but novelty framing needs sharpening vs existing catalytic filter approaches. Plausible chemistry but energy advantage vs conventional is underspecified.,phase9cb_collection,2026-03-11T18:00:00Z
rl_eval2_champ,efe33bd47e524534,a2323ff3d078472a,Quantum Dot BiVO4 Photocatalytic Desalination for Offshore Platforms,champion,approve,0.850,0.870,0.800,none,Novel combination of QD sensitization with BiVO4 photocatalysis for seawater desalination in offshore context. Mechanistically well-specified. Offshore platform freshwater logistics are costly making this commercially compelling.,phase9cb_collection,2026-03-11T18:00:00Z
rl_eval2_run1,efe33bd47e524534,1a0e29ed9582cdc5,MOF-808 Integrated Offshore Direct Air Capture for Corrosion Mitigation,runner_up,defer,0.790,0.800,0.690,dual-function hypothesis needs separate validation for each claimed effect,MOF-808 DAC in offshore context has potential but combining corrosion mitigation as a co-benefit weakens the primary claim. Would approve with one mechanism as primary focus.,phase9cb_collection,2026-03-11T18:00:00Z
rl_eval3_champ,4c5a48429f8c4469,2a6727f6a43b4ee0,Quantum Dot-BiVO4 Sensitized Microalgae for Synergistic Bio-hydrogen,champion,approve,0.840,0.830,0.750,none,Creative integration of QD-BiVO4 with biological hydrogen production. Synergy between photocatalytic electron transfer and microalgal hydrogen evolution is mechanistically coherent. Good novelty and reasonable plausibility.,phase9cb_collection,2026-03-11T18:00:00Z
rl_eval3_run1,4c5a48429f8c4469,87c9de132c2ffb16,Passivated Perovskite Bio-Photocatalysts for Biomass Valorization,runner_up,defer,0.790,0.750,0.690,perovskite stability in aqueous biological environments unresolved,Interesting direction but perovskite degradation in wet biological media is not addressed. Strong conceptual novelty but technical plausibility is limited by this challenge.,phase9cb_collection,2026-03-11T18:00:00Z
rl_prod1_champ,983beee35a024e0d,741eb725e91f4d3a,Perovskite Tandem Trap Passivation via OABr Analogues,champion,approve,0.870,0.860,0.790,none,Concrete mechanism for addressing trap states in perovskite tandem junctions using OABr analogues. Well-grounded in passivation chemistry with clear stability benefits. Strong commercial relevance to perovskite solar efficiency improvements.,phase9cb_collection,2026-03-11T18:19:00Z
rl_prod1_run1,983beee35a024e0d,dded51546906,Degradation-Resistant Sulfide Electrolytes via Bulk Dopants,runner_up,defer,0.810,0.780,0.720,mechanism specificity vs existing doping literature needs clearer differentiation,Addressing sulfide electrolyte stability is commercially important for solid-state batteries. The doping approach is well-explored; needs clearer novelty differentiation from existing literature.,phase9cb_collection,2026-03-11T18:19:00Z
rl_prod2_champ,a219f3a3f64b4e9a,81508855f88441c9,Quantum dot-sensitized photo-electrochemical hydrogen generation in seawater,champion,approve,0.860,0.780,0.820,none,Strong mechanistic grounding in QD sensitization for PEC hydrogen evolution in seawater. High impact if the photoelectrochemical efficiency and saltwater durability hold. Good commercial pathway for marine renewable hydrogen.,phase9cb_collection,2026-03-11T19:21:00Z
rl_prod2_run1,a219f3a3f64b4e9a,39b26f800f12,High-efficiency TPV-driven seawater electrolysis via waste heat recycling,runner_up,defer,0.810,0.810,0.750,TPV efficiency in the temperature range of marine operations needs experimental validation,Thermophotovoltaic waste-heat-to-hydrogen is an interesting dual-use concept. The seawater electrolysis integration is novel but TPV viability at moderate marine temperatures is uncertain.,phase9cb_collection,2026-03-11T19:21:00Z
rl_prod3_champ,3886d50a5b3a4303,d7a5371207c44200,Perovskite Solar Cell Tandem Stacking Increases Charge Collection Efficiency in Concentrated PV-Thermal Systems,champion,approve,0.880,0.870,0.840,none,Well-specified tandem design for concentrated PV-thermal systems. Integration of perovskite tandem with thermal collection is technically grounded and addresses a real efficiency gap in CPV systems. Strong commercial relevance for utility-scale solar.,phase9cb_collection,2026-03-11T20:23:00Z
rl_prod3_run1,3886d50a5b3a4303,39c5e7fb6ab5,Photocatalytic CO2 Reduction Using Solar Tandems,runner_up,approve,0.880,0.840,0.810,none,Strong mechanistic grounding and high novelty for solar-driven CO2 reduction using tandem architectures. Both novelty and plausibility are high. Approve but note that CO2 feedstock economics must be considered for commercialization.,phase9cb_collection,2026-03-11T20:23:00Z
